pair,encoder,source,target,n_samples,n_anchors,rel_direction_l1_to_target,rel_direction_rmse_to_target,rel_magnitude_l1_to_target,rel_magnitude_rmse_to_target,memory_target_norm_gap,anchor_direction_js_to_target,target_direction_subspace_residual,capacity_normalized_direction_rmse,diagnostic_rel_direction_z2_mean,diagnostic_rel_magnitude_z_abs_mean,diagnostic_target_direction_std_mean,diagnostic_target_direction_std_min,diagnostic_target_magnitude_std_mean,diagnostic_target_magnitude_std_min,target_text_nll,source_native_nll,target_minus_source_nll,source_hidden_size,target_hidden_size,abs_log_hidden_ratio,prior_same_model_family,prior_cross_model_family,prior_target_param_b,prior_source_param_b,prior_log_param_ratio_target_over_source,prior_param_tier_jump,pair_normalized_direction_rmse,target_readability_z2_mean,target_readability_tail_frac,target_magnitude_tail_frac,target_readability_cross_entropy,source_to_target_anchor_kl,target_readability_energy,source_target_top_anchor_overlap,source_target_direction_entropy_gap,source_target_direction_dispersion_gap,diagnostic_source_direction_entropy_mean,diagnostic_target_direction_entropy,diagnostic_source_direction_std_mean
llama1b:qwen1.5b->mistral7b,llama1b,qwen1.5b,mistral7b,128,512,0.03450548165710643,0.04095268918899819,5.310746103525162,5.312706150114536,7.177930681034923,0.007388885565887904,0.574912735261023,0.004923520133668118,0.709257164504379,51.054191797971725,0.048695340752601624,0.04637666419148445,0.10402174293994904,0.10402174293994904,2.5233965599909425,0.4810451199300587,2.0423514400608838,1536,4096,0.9808292530076573,0.0,1.0,7.0,1.5,1.5404450404233394,2.0,0.7131017237081344,0.709257164504379,0.00835418701171875,1.0,6.238093923777342,0.029580771035398357,0.001955443427505088,0.04364013671875,0.028813455253839493,1.7184038877338188,6.208513166755438,6.237326622009277,0.008733607595786452
llama1b:qwen1.5b->qwen3b,llama1b,qwen1.5b,qwen3b,128,512,0.0762691335985437,0.08482454175828025,5.381962787359953,5.382119808346033,5.3097897078841925,0.022278186574112624,0.060453550424426794,0.011125085976388303,1.8705650521442294,33.86828124523163,0.05838809162378311,0.04814695939421654,0.1589086353778839,0.1589086353778839,2.806918393820524,0.4810451199300587,2.3258732738904655,1536,2048,0.2876820724501533,1.0,0.0,3.0,1.5,0.6931471802266119,1.0,1.254411519591273,1.8705650521442294,0.06243896484375,1.0,6.298560295253992,0.08761065703583881,0.001956153302671737,0.06622314453125,0.047100719064474106,1.8443397235210148,6.210949596017599,6.163848876953125,0.009232882744981907
llama1b:qwen1.5b->qwen7b,llama1b,qwen1.5b,qwen7b,128,512,0.020878780094790272,0.02608036382298451,5.5660120993852615,5.600980576127768,5.786136357113719,0.007312448135053273,0.7073031063191593,0.0031866588071894743,2.6692180959507823,3.3996462617069483,0.053509436547756195,0.0,1.637232780456543,1.6372325420379639,2.7019879138097167,0.4810451199300587,2.220942793879658,1536,3584,0.8472978603834834,1.0,0.0,7.0,1.5,1.5404450404233394,2.0,0.4156741408388084,2.6692180959507823,0.007320404052734375,1.0,6.2405756041407585,0.02962601436593104,0.001951601164364547,0.0430908203125,0.02592593804001808,1.7570858030645264,6.210949596017599,6.236875534057617,0.009232882744981907
llama1b:qwen3b->llama1b,llama1b,qwen3b,llama1b,128,512,0.13136492448393255,0.13856116530951113,5.522407542914152,5.52299090474844,5.7002489268779755,0.023778348171617836,0.02982187259476632,0.01817286418651814,4.476774398237467,60.49123054742813,0.06303035467863083,0.04704546183347702,0.09129269421100616,0.09129269421100616,3.2864207942038774,0.3271607572387438,2.9592600369651336,2048,2048,0.0,0.0,1.0,1.0,3.0,-1.098612288001443,1.0,2.017447551524098,4.476774398237467,0.6199073791503906,1.0,6.317097000777721,0.10176581901032478,0.0019575014903239207,0.0472412109375,0.05305543169379234,2.411772273047713,6.215331222862005,6.162275791168213,0.0056510566573706456
llama1b:qwen3b->llama3b,llama1b,qwen3b,llama3b,128,512,0.1419084530789405,0.14897249231580645,5.522407606244087,5.523055870085955,5.5448965057730675,0.02501928131096065,0.024013206595554948,0.018551797287165783,5.358567390590906,55.84533825516701,0.06205273047089577,0.04581158608198166,0.09888753294944763,0.09888751804828644,3.0276303105056286,0.3271607572387438,2.7004695532668848,2048,3072,0.40546510810653674,0.0,1.0,3.0,3.0,0.0,0.0,2.200356532936766,5.358567390590906,0.7549324035644531,1.0,6.32191189751029,0.10658070509089157,0.0019573376011976507,0.078399658203125,0.059534694999456406,2.396140359946345,6.215331222862005,6.155796527862549,0.0056510566573706456
llama1b:qwen3b->llama8b,llama1b,qwen3b,llama8b,128,512,0.02710388190462254,0.03278932557441294,5.522407464683056,5.524500496685505,6.157893896102905,0.0061949069968250114,0.6241719271056354,0.003942083116690444,0.4668701549526304,42.94077414274216,0.04787277802824974,0.04629664495587349,0.1286052167415619,0.1286052167415619,2.9135442646220326,0.3271607572387438,2.586383507383289,2048,4096,0.6931471805575039,0.0,1.0,8.0,3.0,0.9808292528033928,2.0,0.6126115522344392,0.4668701549526304,0.00147247314453125,1.0,6.24021278321743,0.024881581965018995,0.0019515683952704421,0.042572021484375,0.02189335599541664,2.1367029271130127,6.215331222862005,6.237224578857422,0.0056510566573706456
llama1b:qwen3b->mistral7b,llama1b,qwen3b,mistral7b,128,512,0.042725969600724056,0.047323067468823865,5.473176069557667,5.475183986127377,7.41727089881897,0.005509712256753119,0.5367037742398679,0.005689396229742165,0.9476748630404472,52.61569079756737,0.048695340752601624,0.04637666419148445,0.10402174293994904,0.10402174293994904,2.5233965599909425,0.3271607572387438,2.1962358027521987,2048,4096,0.6931471805575039,0.0,1.0,7.0,3.0,0.8472978601967275,1.0,0.8691879700704155,0.9476748630404472,0.0059566497802734375,1.0,6.239328868687153,0.022192653254023753,0.001953132777089195,0.047760009765625,0.02019045129418373,2.136417266697848,6.217136170715094,6.237326622009277,0.005749797015596414
llama1b:qwen3b->qwen1.5b,llama1b,qwen3b,qwen1.5b,128,512,0.10886230011237785,0.11637350602541119,5.549130003899336,5.549288868904114,5.621303090825677,0.02718660897517111,0.02991009115066845,0.01586132024767543,3.099617563188076,37.96833556890488,0.0629504844546318,0.04916366562247276,0.14615151286125183,0.14615151286125183,2.9349014153704047,0.3271607572387438,2.607740658131661,2048,1536,0.2876820724501533,1.0,0.0,1.5,3.0,-0.6931471802266119,1.0,1.6934031152097138,3.099617563188076,0.2836112976074219,1.0,6.324849054217339,0.10853258235147223,0.001973098575035692,0.01763916015625,0.08791186660528183,2.3894694550400994,6.216316483914852,6.12840461730957,0.005771184973127674
llama1b:qwen3b->qwen7b,llama1b,qwen3b,qwen7b,128,512,0.021070647897431627,0.025814118853304535,5.728676278144121,5.758154109120369,6.025476574897766,0.006037330342223868,0.6435355842113495,0.0031541273638683934,3.9989205226302147,3.4989994391798973,0.053509436547756195,0.0,1.637232780456543,1.6372325420379639,2.7019879138097167,0.3271607572387438,2.374827156570973,2048,3584,0.55961578793333,1.0,0.0,7.0,3.0,0.8472978601967275,1.0,0.4354562053579089,3.9989205226302147,0.0078125,1.0,6.24088928848505,0.02457280587987043,0.0019510776528477436,0.034393310546875,0.020559050142765045,2.2269790491617036,6.216316483914852,6.236875534057617,0.005771184973127674
llama1b:qwen7b->llama1b,llama1b,qwen7b,llama1b,128,512,0.12791368027683347,0.1346849538385868,6.040456868708134,6.042858932167292,5.9375607101246715,0.022633570159086958,0.019502575203659944,0.01766448318046943,4.182298548519611,66.1658319234848,0.06303035467863083,0.04704546183347702,0.09129269421100616,0.09129269421100616,3.2864207942038774,0.30537215020740405,2.9810486439964734,3584,2048,0.5596157879333301,0.0,1.0,1.0,7.0,-1.9459101481981704,1.0,1.8733088959194533,4.182298548519611,0.5807228088378906,1.0,6.323897648602724,0.09908011526567861,0.0019531875650500297,0.0911865234375,0.06254177540540695,1.9613402896243826,6.22481756657362,6.162275791168213,0.008866456038958859
llama1b:qwen7b->llama3b,llama1b,qwen7b,llama3b,128,512,0.13853426359128207,0.14512727549299598,6.040456984192133,6.042970884591341,5.7822082890197635,0.023925609042635188,0.014201772755768616,0.018072945910558916,5.0390659756958485,61.08411034941673,0.06205273047089577,0.04581158608198166,0.09888753294944763,0.09888751804828644,3.0276303105056286,0.30537215020740405,2.7222581602982245,3584,3072,0.15415067982679323,0.0,1.0,3.0,7.0,-0.8472978601967274,1.0,2.0463750667681313,5.0390659756958485,0.7390079498291016,1.0,6.329321447759867,0.10450390155892819,0.0019541107312761596,0.10101318359375,0.06902103871107101,1.9457083765230143,6.22481756657362,6.155796527862549,0.008866456038958859
llama1b:qwen7b->llama8b,llama1b,qwen7b,llama8b,128,512,0.02195520600071177,0.02621825650567189,6.040456935763359,6.043057840317488,6.395205679349601,0.003545989686244866,0.5937283551320434,0.0031520790534563777,0.29804009129293263,46.968988478183746,0.04787277802824974,0.04629664495587349,0.1286052167415619,0.1286052167415619,2.9135442646220326,0.30537215020740405,2.6081721144146286,3584,4096,0.13353139262417382,0.0,1.0,8.0,7.0,0.13353139260666547,0.0,0.4620832888541116,0.29804009129293263,0.0,1.0,6.23903102055192,0.014213449503586162,0.0019539053391781636,0.106292724609375,0.012407012283802032,1.6862709436896821,6.22481756657362,6.237224578857422,0.008866456038958859
llama1b:qwen7b->mistral7b,llama1b,qwen7b,mistral7b,128,512,0.035947552969446406,0.03970220539486036,6.032850079238415,6.14233211055398,7.654582682065666,0.003735468395461794,0.509866557084024,0.00477318123629194,0.6649560700170696,57.99604704976082,0.048695340752601624,0.04637666419148445,0.10402174293994904,0.10402174293994904,2.5233965599909425,0.30537215020740405,2.2180244097835384,3584,4096,0.13353139262417382,0.0,1.0,7.0,7.0,0.0,0.0,0.6877205722956756,0.6649560700170696,0.0004825592041015625,1.0,6.239260610193014,0.014972391902119853,0.001953268066245073,0.105743408203125,0.01303841546177864,1.684499777573341,6.224288206547499,6.237326622009277,0.009034789938596077
llama1b:qwen7b->qwen1.5b,llama1b,qwen7b,qwen1.5b,128,512,0.10584395524347201,0.11384782078675926,6.262788224965334,6.452004685997963,5.858614874072373,0.028005613829009235,0.01820346634485759,0.015517077784048554,2.896368460729718,42.851339250802994,0.0629504844546318,0.04916366562247276,0.14615151286125183,0.14615151286125183,2.9349014153704047,0.30537215020740405,2.6295292651630007,3584,1536,0.8472978603834834,1.0,0.0,1.5,7.0,-1.5404450404233394,1.0,1.588664474990841,2.896368460729718,0.21637725830078125,1.0,6.335180796682835,0.11064208613242954,0.001940060163178714,0.053070068359375,0.09613414108753204,1.9776344017125276,6.224538758397102,6.12840461730957,0.008712101756827906
llama1b:qwen7b->qwen3b,llama1b,qwen7b,qwen3b,128,512,0.07830075162928551,0.0861804619198665,6.2627884186804295,6.448745682835579,5.786441708914936,0.020742822540341876,0.03236173608456738,0.01130292045756654,1.8969675144180655,39.411249190568924,0.05838809162378311,0.04814695939421654,0.1589086353778839,0.1589086353778839,2.806918393820524,0.30537215020740405,2.50154624361312,3584,2048,0.5596157879333301,1.0,0.0,3.0,7.0,-0.8472978601967274,1.0,1.2843547050226802,1.8969675144180655,0.036518096923828125,1.0,6.305904533714056,0.08136575121898204,0.0019418834390307893,0.0364990234375,0.060689881443977356,1.9023979162906204,6.224538758397102,6.163848876953125,0.008712101756827906
